Part Number,Description,Supplier,Type,Component,Qty per LRV,No. of car,Total,Qty on Site,Shipped out of store,Qty should be remaining,Qty actually remaining,Notes,More needed for 50,"Back Order 
 Qty",Order Status,Stock for Number of Trains,No. of Trains Next Delivery,Qty Required for # More Trains
10008207,Violet Box,WTX,Long Lead,Violet (Wi-PU 820-C5NW1P1B),1,233,233,50,32,18,25(16),2 defected,#VALUE!,,,#VALUE!,#VALUE!,#VALUE!
10007157,Violet Installation Kit,WTX,Long Lead,Mounting Bracket - Violet Mounting Bracket P3010 Vehicle,1,233,233,50,32,18,27(18),all accounted,0,,,#VALUE!,#VALUE!,#VALUE!
10007388,Violet Installation Kit,WTX,Long Lead,"Cable Assembly - Wi-PU Power, Wi-PU P1 to Power Source-Unterminated (2M)NFPA130",1,233,233,50,32,18,27,,0,,,27,27,73
10006853,Violet Installation Kit,WTX,Long Lead,"Antenna - Wideband, Surface Mount, Cellular x4, WLAN x2, GPS (1 Foot Pigtails) (5G) NFPA130",1,233,233,50,32,18,27,,0,,,27,27,73
10005194,Violet Installation Kit,WTX,Long Lead,"Cable Assembly -(green) GPS Antenna Cable Extension, NFPA130 (2.5 M)(green)",1,233,233,99,32,67,74,,-49,,,74,74,26
10005193,Violet Installation Kit,WTX,Long Lead,"Cable Assembly -(white) WLAN Antenna Cable Extension, NFPA130 (2.5 M)(white)",2,233,466,198,64,134,147,some used for testbench,-98,,,73.5,73.5,53
10005195,Violet Installation Kit,WTX,Long Lead,"Cable Assembly -(red) Cellular Antenna Cable Extension, NFPA130 (2.5 M)(red))",4,233,932,396,128,268,246,need to be recounted the difference between actual and should is too large,-196,,,61.5,61.5,154
10007184,Violet Installation Kit,WTX / Peacock,Long Lead,Cable Assembly -(all blue) Ethernet Cordset M12 Female 8 Pin A-code to M12 Male 4 Pin D-Code 2m (Violet to Switch for MDS),2,233,466,222,64,158,214,1 defected,-122,200,Ordered 160,107,207,-214
10007407,Violet Installation Kit,WTX / Peacock,Long Lead,"Cable Assembly - (teal) Wi-PU J3 to MVB Interface, DB9 Male and DB9 Female with J3 pass through (teal)",1,233,233,250,32,218,27,,-200,,,27,27,73
10002736,Violet Installation Kit,WTX,Long Lead,Cable Assembly - BTP/BTN to Wi-PU Circuit Breaker Wire Kit (35 ft),1,233,233,50,32,18,26,1 missing,-8,,,26,26,74
10006709,Violet Installation Kit,WTX,Long Lead,Accessory - DC/DC Converter Input 24VDC (14-45Vdc) Output 72VDC,1,233,233,50,32,18,26,1 defected,-8,,,26,26,74
10003595 - A2V00002885299,Violet Installation Kit,WTX,Long Lead,J1 Tamper Resistant Seal Kit,1,233,233,50,32,18,27,,0,,,27,27,73
10002454 - A2V00002885301,Violet Installation Kit,WTX,Consumables,"Cap Screw - 18-8 SS Fully Threaded Hex Head Cap Screw 1/4'' - 20, 9/16'' Length",1,233,233,50,32,18,27,,0,,,27,27,73
10002455 - A2V00002885302,Violet Installation Kit,WTX,Consumables,Washer - Split Lock Washer - 1/4'' 18-8 SS,1,233,233,50,32,18,27,,0,,,27,27,73
10005821,Violet Installation Kit,WTX,Long Lead,"Cable Assembly - Ground Strap 30"" (Violet)",1,233,233,50,32,18,27,,0,,,27,27,73
10005333,Violet Installation Kit,WTX,Consumables,"Screw - 5/16""-18 Thread Size, 3/4"" Long, Zinc-Plated, Serrated Flanged Hex Head Screws,",4,233,932,200,128,72,108,,0,,,27,27,292
10002481,Violet Installation Kit,WTX,Consumables,"Nut - Locking with Nylon Insert and Flange, Thin Hex Locknut 5/16""-18, 18-8 SS",4,233,932,200,128,72,108,,0,,,27,27,292
10007427,Violet Installation Kit,WTX,Consumables,"Accessory - 18-8 Stainless Steel Split Lock Washer for M5 Screw Size, Standard, 5.4 mm ID, 9.2 mm OD",8,233,1864,400,256,144,216,,0,,,27,27,584
10007428,Violet Installation Kit,WTX,Consumables,"Accessory - General Purpose 18-8 Stainless Steel Washer for M5 Screw Size, 5.300 mm ID, 9.000 mm OD",8,233,1864,400,256,144,216,,0,,,27,27,584
10007429,Violet Installation Kit,WTX,Consumables,"Button Head Hex Drive Screw 18-8 Stainless Steel, M5 x 0.8 Thread Size, 15mm Long",8,233,1864,400,256,144,216,,0,,,27,27,584
10005332,Violet Installation Kit,WTX,Consumables,"Nut - 5/16-18 Medium Strength Steel Serrated, Zinc Plated 4",4,233,932,100,128,-28,250,,,,,62.5,62.5,150
10005333,Violet Installation Kit,,Consumables,"Screw - 5/16""-18 Thread Size, 3/4"" Long, Zinc-Plated,
 Serrated Flanged Hex Head Screws",4,233,932,100,128,-28,250,,,,,62.5,62.5,150
10003869,DC/DC Converter Installation Kit,WTX,Consumables,#10-32 Bolt,4,233,932,100,128,-28,250,,,,,62.5,62.5,150
10003043,DC/DC Converter Installation Kit,WTX,Consumables,#10 Washer,4,233,932,100,128,-28,250,,,,,62.5,62.5,150
10000568,DC/DC Converter Installation Kit,WTX,Consumables,#10 Nylock Nut,4,233,932,100,128,-28,250,,,,,62.5,62.5,150
10001206,DC/DC Converter Installation Kit,WTX,Consumables,5/16” Flat Washer,4,233,932,100,128,-28,250,,,,,62.5,62.5,150
FSD78-8-DSL0,WTX Consumables,Peacock,Consumables,Wire Ferrule Connector DIN 18 AWG,3,233,699,,96,-96,,,,,,0,0,300
2-34161-1,WTX Consumables,Peacock,Consumables,14 AWG ring terminal,3,233,699,500,96,404,70,"needs to be updated, peacock may have them",-350,,,23.33333333,23.33333333,230
888519026847,WTX/WiFi Consumables,Peacock,Consumables,3M Water Contact indicator Tape,0.3,233,69.9,,9.6,-9.6,,,,,,0,0,30
BT1M-M,WTX/WiFi Consumables,Peacock,Consumables,"Zip Ties - Cable Tie, 4 in L, 7/8 in Max Bundle Dia., Natural, Nylon 6/6, 18 lb Strength, 1000 PK",120,233,27960,1000,3840,-2840,2000,"Qty to be confirmed, order sample via P card",2000,,,16.66666667,16.66666667,10000
70-03A,WTX/WiFi Consumables,Peacock,Consumables,"70-03A BOSTIK GLUE,CLADDING, BLACK 40",0.5,233,116.5,,16,-16,5,,25,,,10,10,45
85263716,WiFi Install Kit,H+S / VinnCorp,Long Lead,WiFi 5G Roof Antenna Cable Assembly,4,233,932,540,128,412,448,,-340,,Expected Delivery 08/08. Need for Div 16 07/28,112,112,-48
85263715,WiFi Install Kit,H+S / VinnCorp,Long Lead,WiFi 5G AP Cable Assembly,2,233,466,240,64,176,194,,-140,,,97,97,6
84123697 (1399.35.0002),WiFi Install Kit,H+S / VinnCorp,Long Lead,SENCITY Omni-SR 3x3 MIMO Antenna - AP,1,233,233,235,32,203,216,all accounted,-185,,,216,216,-116
85185385 (1399.19.0216),WiFi Install Kit,H+S / VinnCorp,Long Lead,SENCITY Tram Multi 4x4 Cellular MIMO antenna - WiFi antenna,1,233,233,235,32,203,87,135 Faulty,-185,,,87,87,13
R1900,WiFi Install Kit,Ericsson / VinnCorp,Quick Delivery,"Cradlepoint, R1900 Router with WiFi (5G Modem)",1,233,233,39,32,7,16,,11,43,,16,59,41
DDR­120B24,WiFi Install Kit,Mean well / Peacock,Long Lead,MEAN WELL DDR-120B-24 Power Supply,1,233,233,,32,-32,18,,0,208,Qty 208+ ETA 08/30,18,226,-126
QC6BP,WiFi Install Kit,Eaton / VinnCorp,Long Lead,Eaton Breaker mounting incl screw,2,233,466,72,64,8,26,not enough screws for 3 of them,28,,,13,13,174
RTXE-14-600V-6,WiFi Install Kit,Siemens,Long Lead,"Wire, AWG14,Class1,600V in meters",16,233,3728,,512,-512,3328,,,,,208,208,-1728
3022276,WiFi Install Kit,Peacock,Long Lead,END TERMINAL CLIPFIX 35-5,2,233,466,,64,-64,212,,200,200,"Fedex# 740675882190;
 Expected Delivery : 08/08",106,206,-212
A4D10000166209,WiFi Install Kit,UMMF / Peacock,Long Lead,Wi-Fi Bracket,1,233,233,233,32,201,210,,,,,210,210,-110
8961K101,WiFi Install Kit,McMaster / Peacock,Long Lead,"Steel DIN 3 Rail, 4-7/8"" Length",1,233,233,235,32,203,216,,-185,,PN Updates,216,216,-116
AW15010,WiFi Install Kit,Peacock,Consumables,Red Ferrules (AWG16),1,233,233,500,32,468,300,,-450,,,300,300,-200
24C944,WiFi Install Kit,Peacock,Long Lead,Ring Terminals awg 16-14,3,233,699,100,96,4,24,,50,,,8,8,276
232728,WiFi Install Kit,Peacock,Long Lead,Acetone - 1 qt.,0.5,233,116.5,1,16,-15,,Buy for 1 month stock only,24,,,0,0,50
170864-000,WiFi Install Kit,Ericsson / VinnCorp,Long Lead,"GPIO & Power Cable, 2×2, 20AWG - Cradlepoint cable",1,233,233,,32,-32,,Part of WiFi Router,,,,0,0,100
ZTRIM-232,WTX/WiFi Consumables,Peacock,Consumables,"Rubber Edging: Style D, Neoprene, 25 ft Lg, 150°F Max. Temp. (F), 1/16 in Groove Wd",4,233,932,,128,-128,200,,,,,50,50,200
91280A134,WiFi Install Kit,Peacock,Consumables,M4x12 hex head screw,4,233,932,250,128,122,100,Part of Cradle Point Installation Packet,-50,,,25,25,300
QL1PL,Breaker Lock,Eaton / VinnCorp,Long Lead,Circuit Breaker Lock,1,233,233,220,32,188,5,To be checked with USPS,-170,,,5,5,95
98306A157,Breaker Lock,Eaton / VinnCorp,Long Lead,Clevis Pin,1,233,233,450,32,418,212,,-400,,,212,212,-112
2011T921,Breaker Lock,Eaton / VinnCorp,Long Lead,Wire Tamper Seal Tags,1,233,233,,32,-32,212,,,,,212,212,-112
QC1010,WiFi Install Kit,Eaton / VinnCorp,Consumables,Eaton Circuit Breaker,2,233,466,100,64,36,54,,0,,,27,27,146
91280A330,AP Installation,Peacock,Consumables,M6x20 Hex screw Zinc Plated,2,233,466,200,64,136,300,,,200,,150,250,-300
91166A250,AP Installation,Peacock,Consumables,M6 flat washer zinc plated,4,233,932,200,128,72,250,,,200,,62.5,112.5,-50
94645A205,AP Installation,Peacock,Consumables,M6 Nylon-insert locknut zinc plated,2,233,466,200,64,136,300,,,200,,150,250,-300
SD64BS203,WiFi Install Kit,Siemens,Consumables,Rivet,4,233,932,330,128,202,200,Pack of 250 Delivered at Div 16 & Pack of 250 Delivered at Div 21,,,,50,50,200
10006484,Violet Installation Kit,WTX,Long Lead,Flyer - QR Code Wi-Tronix Customer Portal General,1,233,233,,32,-32,100,,,,,100,100,0
10007618,DC/DC Converter Installation Kit,WTX,Long Lead,Label for Violet Power Supply,1,233,233,,32,-32,100,,,,,100,100,0
10007619,DC/DC Converter Installation Kit,WTX,Long Lead,Label - IDCS Violet E1 Port,1,233,233,,32,-32,100,,,,,100,100,0
10007620,DC/DC Converter Installation Kit,WTX,Long Lead,Label-NTRON Switch Port 11,1,233,233,,32,-32,100,,,,,100,100,0
10007621,DC/DC Converter Installation Kit,WTX,Long Lead,Label IDCS Violet J7 Port,1,233,233,,32,-32,100,,,,,100,100,0
10007622,DC/DC Converter Installation Kit,WTX,Long Lead,Label LAN4B MOXA Switch Port 11,1,233,233,,32,-32,100,,,,,100,100,0
211-502,WTX/WiFi Consumables,Wago / Peacock,Consumables,"Name Tag Sleeves, Power cable",0.2,233,46.6,,6.4,-6.4,100,,,,,500,500,-80
211-503,WTX/WiFi Consumables,Wago / Peacock,Consumables,"Name Tag Sleeves, Coax cable",0.2,233,46.6,,6.4,-6.4,100,,,,,500,500,-80
2-36153-4,WTX/DC/DC COnverter,Siemens,Consumables,CONN RING CIRC 20AWG #10 CRIMP,4,233,932,,128,0,100,,,,,25,25,300
211-503,WTX/WiFi Consumables,Wago / Peacock,Consumables,"Name Tag Sleeves, Coax cable",0.2,4,0.8,,0.8,,,4,,,,,,
2-36153-4,WTX/DC/DC COnverter,Siemens,Consumables,CONN RING CIRC 20AWG #10 CRIMP,4,4,16,,16,,,4,,,,,,
